name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL,others
"@angular-builders/custom-webpack@8.4.1","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/architect@0.800.6","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/architect@0.803.26","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/architect@0.901.7","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/build-angular@0.803.26","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/build-optimizer@0.803.26","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/build-webpack@0.803.26","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/core@8.0.6","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/core@8.3.26","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/core@9.1.7","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/schematics@8.0.6","MIT",-,-,-,Javascript,-,-,-,
"@angular-devkit/schematics@9.1.7","MIT",-,-,-,Javascript,-,-,-,
"@angular/animations@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@angular/cli@8.0.6","MIT",-,-,-,Javascript,-,-,-,
"@angular/cli@9.1.7","MIT",-,-,-,Javascript,-,-,-,
"@angular/common@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@angular/compiler-cli@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@angular/compiler@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@angular/core@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@angular/forms@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@angular/http@7.2.16","MIT",-,-,-,Javascript,-,-,-,
"@angular/language-service@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@angular/platform-browser-dynamic@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@angular/platform-browser@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@angular/router@8.0.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/code-frame@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/compat-data@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/core@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/core@7.8.7","MIT",-,-,-,Javascript,-,-,-,
"@babel/generator@7.8.8","MIT",-,-,-,Javascript,-,-,-,
"@babel/generator@7.9.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-annotate-as-pure@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-builder-binary-assignment-operator-visitor@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-compilation-targets@7.8.7","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-create-regexp-features-plugin@7.8.8","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-define-map@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-explode-assignable-expression@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-function-name@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-get-function-arity@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-hoist-variables@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-member-expression-to-functions@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-module-imports@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-module-transforms@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-optimise-call-expression@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-plugin-utils@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-regex@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-remap-async-to-generator@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-replace-supers@7.8.6","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-simple-access@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-split-export-declaration@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-validator-identifier@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/helper-wrap-function@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/helpers@7.9.2","MIT",-,-,-,Javascript,-,-,-,
"@babel/highlight@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/parser@7.8.8","MIT",-,-,-,Javascript,-,-,-,
"@babel/parser@7.9.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-proposal-async-generator-functions@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-proposal-dynamic-import@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-proposal-json-strings@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-proposal-nullish-coalescing-operator@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-proposal-object-rest-spread@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-proposal-optional-catch-binding@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-proposal-optional-chaining@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-proposal-unicode-property-regex@7.8.8","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-syntax-async-generators@7.8.4","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-syntax-json-strings@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-syntax-top-level-await@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-arrow-functions@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-async-to-generator@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-block-scoped-functions@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-block-scoping@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-classes@7.9.2","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-computed-properties@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-destructuring@7.8.8","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-dotall-regex@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-duplicate-keys@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-exponentiation-operator@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-for-of@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-function-name@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-literals@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-member-expression-literals@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-modules-amd@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-modules-commonjs@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-modules-systemjs@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-modules-umd@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-named-capturing-groups-regex@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-new-target@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-object-super@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-parameters@7.9.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-property-literals@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-regenerator@7.8.7","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-reserved-words@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-shorthand-properties@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-spread@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-sticky-regex@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-template-literals@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-typeof-symbol@7.8.4","MIT",-,-,-,Javascript,-,-,-,
"@babel/plugin-transform-unicode-regex@7.8.3","MIT",-,-,-,Javascript,-,-,-,
"@babel/preset-env@7.8.7","MIT",-,-,-,Javascript,-,-,-,
"@babel/runtime@7.9.2","MIT",-,-,-,Javascript,-,-,-,
"@babel/template@7.8.6","MIT",-,-,-,Javascript,-,-,-,
"@babel/traverse@7.8.6","MIT",-,-,-,Javascript,-,-,-,
"@babel/traverse@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@babel/types@7.8.7","MIT",-,-,-,Javascript,-,-,-,
"@babel/types@7.9.0","MIT",-,-,-,Javascript,-,-,-,
"@istanbuljs/schema@0.1.2","MIT",-,-,-,Javascript,-,-,-,
"@ng-bootstrap/ng-bootstrap@5.2.3","MIT",-,-,-,Javascript,-,-,-,
