"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ajv:6.10.0,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?\ajv:6.10.0,Another JSON Schema Validator,MIT,"","",pkg:npm/ajv@6.10.0,cpe:2.3:a:ajv.js:ajv:6.10.0:*:*:*:*:*:*:*,CVE-2020-15366,CWE-20 Improper Input Validation,"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",OSSINDEX,MEDIUM,5.6,/AV:N/AC:H/Au:/C:L/I:L/A:L,"","","",HIGHEST,8
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ajv:6.10.2,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?@angular-devkit\core:8.3.26\ajv:6.10.2,Another JSON Schema Validator,MIT,"","",pkg:npm/ajv@6.10.2,cpe:2.3:a:ajv.js:ajv:6.10.2:*:*:*:*:*:*:*,CVE-2020-15366,CWE-20 Improper Input Validation,"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",OSSINDEX,MEDIUM,5.6,/AV:N/AC:H/Au:/C:L/I:L/A:L,"","","",HIGHEST,8
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ajv:6.12.0,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?angular-datatables:9.0.2\ajv:6.12.0,Another JSON Schema Validator,MIT,"","",pkg:npm/ajv@6.12.0,cpe:2.3:a:ajv.js:ajv:6.12.0:*:*:*:*:*:*:*,CVE-2020-15366,CWE-20 Improper Input Validation,"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",OSSINDEX,MEDIUM,5.6,/AV:N/AC:H/Au:/C:L/I:L/A:L,"","","",HIGHEST,8
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ajv:6.12.2,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?webpack:4.43.0\ajv:6.12.2,Another JSON Schema Validator,MIT,"","",pkg:npm/ajv@6.12.2,cpe:2.3:a:ajv.js:ajv:6.12.2:*:*:*:*:*:*:*,CVE-2020-15366,CWE-915 Improperly Controlled Modification of Dynamically-Determined Object Attributes,"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",NVD,MEDIUM,6.8,/AV:N/AC:M/Au:N/C:P/I:P/A:P,MEDIUM,5.6,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,HIGHEST,8
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ajv:6.12.2,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?webpack:4.43.0\ajv:6.12.2,Another JSON Schema Validator,MIT,"","",pkg:npm/ajv@6.12.2,cpe:2.3:a:ajv.js:ajv:6.12.2:*:*:*:*:*:*:*,1067946,"","An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",NPM,"","","","","","",HIGHEST,8
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ansi-html:0.0.7,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?\ansi-html:0.0.7,An elegant lib that converts the chalked (ANSI) text to HTML.,Apache-2.0,"","",pkg:npm/ansi-html@0.0.7,cpe:2.3:a:ansi-html_project:ansi-html:0.0.7:*:*:*:*:*:*:*,CVE-2021-23424,NVD-CWE-noinfo,"This affects all versions of package ansi-html. If an attacker provides a malicious string, it will get stuck processing the input for an extremely long time.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,8
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ansi-html:0.0.7,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?\ansi-html:0.0.7,An elegant lib that converts the chalked (ANSI) text to HTML.,Apache-2.0,"","",pkg:npm/ansi-html@0.0.7,cpe:2.3:a:ansi-html_project:ansi-html:0.0.7:*:*:*:*:*:*:*,1070006,"","This affects all versions of package ansi-html. If an attacker provides a malicious string, it will get stuck processing the input for an extremely long time.",NPM,"","","","","","",HIGHEST,8
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ansi-regex:3.0.0,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?string-width:2.1.1\ansi-regex:3.0.0,Regular expression for matching ANSI escape codes,MIT,"","",pkg:npm/ansi-regex@3.0.0,cpe:2.3:a:ansi-regex_project:ansi-regex:3.0.0:*:*:*:*:*:*:*,CVE-2021-3807,NVD-CWE-Other,ansi-regex is vulnerable to Inefficient Regular Expression Complexity,NVD,HIGH,7.8,/AV:N/AC:L/Au:N/C:N/I:N/A:C,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,8
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ansi-regex:3.0.0,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?string-width:2.1.1\ansi-regex:3.0.0,Regular expression for matching ANSI escape codes,MIT,"","",pkg:npm/ansi-regex@3.0.0,cpe:2.3:a:ansi-regex_project:ansi-regex:3.0.0:*:*:*:*:*:*:*,1070273,"",ansi-regex is vulnerable to Inefficient Regular Expression Complexity,NPM,"","","","","","",HIGHEST,8
scerevbowcl,"Mon, 30 May 2022 17:31:33 +0200",ansi-regex:4.1.0,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevbowcl\package-lock.json?inquirer:6.3.1\ansi-regex:4.1.0,Regular expression for matching ANSI escape codes,MIT,"","",pkg:npm/ansi-regex@4.1.0,cpe:2.3:a:ansi-regex_project:ansi-regex:4.1.0:*:*:*:*:*:*:*,CVE-2021-3807,NVD-CWE-Other,ansi-regex is vulnerable to Inefficient Regular Expression Complexity,NVD,HIGH,7.8,/AV:N/AC:L/Au:N/C:N/I:N/A:C,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,8
