"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: axis-1.4.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\axis-1.4.jar,POM was created from deploy:deploy-file,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",03dcfdd88502505cc5a805a128bfdd8d,94a9ce681a42d0352b3ad22659f67835e560d107,"pkg:maven/axis/axis@1.4, pkg:maven/org.apache.axis/axis@1.4",cpe:2.3:a:apache:axis:1.4:*:*:*:*:*:*:*,CVE-2019-0227,CWE-918 Server-Side Request Forgery (SSRF),"A Server Side Request Forgery (SSRF) vulnerability affected the Apache Axis 1.4 distribution that was last released in 2006. Security and bug commits commits continue in the projects Axis 1.x Subversion repository, legacy users are encouraged to build from source. The successor to Axis 1.x is Axis2, the latest version is 1.7.9 and is not vulnerable to this issue.",NVD,MEDIUM,5.4,/AV:A/AC:M/Au:N/C:P/I:P/A:P,HIGH,7.5,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,"HIGH, HIGH",27
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: axis-1.4.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\axis-1.4.jar,POM was created from deploy:deploy-file,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",03dcfdd88502505cc5a805a128bfdd8d,94a9ce681a42d0352b3ad22659f67835e560d107,"pkg:maven/axis/axis@1.4, pkg:maven/org.apache.axis/axis@1.4",cpe:2.3:a:apache:axis:1.4:*:*:*:*:*:*:*,CVE-2018-8032,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Apache Axis 1.x up to and including 1.4 is vulnerable to a cross-site scripting (XSS) attack in the default servlet/services.,NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,"HIGH, HIGH",27
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: axis-1.4.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\axis-1.4.jar,POM was created from deploy:deploy-file,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",03dcfdd88502505cc5a805a128bfdd8d,94a9ce681a42d0352b3ad22659f67835e560d107,"pkg:maven/axis/axis@1.4, pkg:maven/org.apache.axis/axis@1.4",cpe:2.3:a:apache:axis:1.4:*:*:*:*:*:*:*,CVE-2012-5784,CWE-20 Improper Input Validation,"Apache Axis 1.4 and earlier, as used in PayPal Payments Pro, PayPal Mass Pay, PayPal Transactional Information SOAP, the Java Message Service implementation in Apache ActiveMQ, and other products, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,"","","","HIGH, HIGH",27
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: axis-1.4.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\axis-1.4.jar,POM was created from deploy:deploy-file,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",03dcfdd88502505cc5a805a128bfdd8d,94a9ce681a42d0352b3ad22659f67835e560d107,"pkg:maven/axis/axis@1.4, pkg:maven/org.apache.axis/axis@1.4",cpe:2.3:a:apache:axis:1.4:*:*:*:*:*:*:*,CVE-2014-3596,NVD-CWE-Other,"The getCN function in Apache Axis 1.4 and earlier does not properly verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via a certificate with a subject that specifies a common name in a field that is not the CN field. NOTE: this issue exists because of an incomplete fix for CVE-2012-5784.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,"","","","HIGH, HIGH",27
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: axis-1.4.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\axis-1.4.jar,POM was created from deploy:deploy-file,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",03dcfdd88502505cc5a805a128bfdd8d,94a9ce681a42d0352b3ad22659f67835e560d107,"pkg:maven/axis/axis@1.4, pkg:maven/org.apache.axis/axis@1.4",cpe:2.3:a:apache:axis:1.4:*:*:*:*:*:*:*,CVE-2007-2353,CWE-200 Information Exposure,"Apache Axis 1.0 allows remote attackers to obtain sensitive information by requesting a non-existent WSDL file, which reveals the installation path in the resulting exception message.",OSSINDEX,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,"","","","HIGH, HIGH",27
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: axis-jaxrpc-1.4.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\axis-jaxrpc-1.4.jar,POM was created from deploy:deploy-file,"",b4592e5eccfeeeae87cfadef0ca66c66,b393f1f0c0d95b68c86d0b1ab2e687bb71f3c075,"pkg:maven/axis/axis-jaxrpc@1.4, pkg:maven/org.apache.axis/axis-jaxrpc@1.4",cpe:2.3:a:apache:axis:1.4:*:*:*:*:*:*:*,CVE-2019-0227,CWE-918 Server-Side Request Forgery (SSRF),"A Server Side Request Forgery (SSRF) vulnerability affected the Apache Axis 1.4 distribution that was last released in 2006. Security and bug commits commits continue in the projects Axis 1.x Subversion repository, legacy users are encouraged to build from source. The successor to Axis 1.x is Axis2, the latest version is 1.7.9 and is not vulnerable to this issue.",NVD,MEDIUM,5.4,/AV:A/AC:M/Au:N/C:P/I:P/A:P,HIGH,7.5,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,"HIGH, HIGH",22
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: axis-jaxrpc-1.4.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\axis-jaxrpc-1.4.jar,POM was created from deploy:deploy-file,"",b4592e5eccfeeeae87cfadef0ca66c66,b393f1f0c0d95b68c86d0b1ab2e687bb71f3c075,"pkg:maven/axis/axis-jaxrpc@1.4, pkg:maven/org.apache.axis/axis-jaxrpc@1.4",cpe:2.3:a:apache:axis:1.4:*:*:*:*:*:*:*,CVE-2018-8032,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Apache Axis 1.x up to and including 1.4 is vulnerable to a cross-site scripting (XSS) attack in the default servlet/services.,NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,"HIGH, HIGH",22
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: axis-jaxrpc-1.4.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\axis-jaxrpc-1.4.jar,POM was created from deploy:deploy-file,"",b4592e5eccfeeeae87cfadef0ca66c66,b393f1f0c0d95b68c86d0b1ab2e687bb71f3c075,"pkg:maven/axis/axis-jaxrpc@1.4, pkg:maven/org.apache.axis/axis-jaxrpc@1.4",cpe:2.3:a:apache:axis:1.4:*:*:*:*:*:*:*,CVE-2012-5784,CWE-20 Improper Input Validation,"Apache Axis 1.4 and earlier, as used in PayPal Payments Pro, PayPal Mass Pay, PayPal Transactional Information SOAP, the Java Message Service implementation in Apache ActiveMQ, and other products, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,"","","","HIGH, HIGH",22
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: axis-jaxrpc-1.4.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\axis-jaxrpc-1.4.jar,POM was created from deploy:deploy-file,"",b4592e5eccfeeeae87cfadef0ca66c66,b393f1f0c0d95b68c86d0b1ab2e687bb71f3c075,"pkg:maven/axis/axis-jaxrpc@1.4, pkg:maven/org.apache.axis/axis-jaxrpc@1.4",cpe:2.3:a:apache:axis:1.4:*:*:*:*:*:*:*,CVE-2014-3596,NVD-CWE-Other,"The getCN function in Apache Axis 1.4 and earlier does not properly verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via a certificate with a subject that specifies a common name in a field that is not the CN field. NOTE: this issue exists because of an incomplete fix for CVE-2012-5784.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,"","","","HIGH, HIGH",22
scerevboweb,"Mon, 30 May 2022 17:23:48 +0200",appl-be-rest.war: batik-css-1.7.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevboweb\build\archives\tst\appl-be-rest.war\WEB-INF\lib\batik-css-1.7.jar,"","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",b0203e64b3c06729baa0ef84743ab119,e6bb5c85753331534593f33fb9236acb41a0ab79,pkg:maven/org.apache.xmlgraphics/batik-css@1.7,cpe:2.3:a:apache:batik:1.7:*:*:*:*:*:*:*,CVE-2018-8013,CWE-502 Deserialization of Untrusted Data,"In Apache Batik 1.x before 1.10, when deserializing subclass of `AbstractDocument`, the class takes a string from the inputStream as the class name which then use it to call the no-arg constructor of the class. Fix was to check the class type before calling newInstance in deserialization.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,33
