"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",commons-io-2.5.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\commons-io-2.5.jar,"The Apache Commons IO library contains utility classes, stream implementations, file filters,  file comparators, endian transformation classes, and much more.",http://www.apache.org/licenses/LICENSE-2.0.txt,affa7b33f76464c0f79d4d1225b705a5,b24f6678d458e65f08113a079e3724581eca1184,pkg:maven/commons-io/commons-io@2.5,cpe:2.3:a:apache:commons_io:2.5:*:*:*:*:*:*:*,CVE-2021-29425,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,MEDIUM,4.8,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,HIGH,118
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",hibernate-core-5.3.10.Final.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\hibernate-core-5.3.10.Final.jar,Hibernate's core ORM functionality,GNU Library General Public License v2.1 or later: http://www.opensource.org/licenses/LGPL-2.1,00d5068af7c2b30d9f4764828c823244,e608b854325005edbf43cb2b6041fdafd3f2eb57,pkg:maven/org.hibernate/hibernate-core@5.3.10.Final,cpe:2.3:a:hibernate:hibernate_orm:5.3.10:*:*:*:*:*:*:*,CVE-2020-25638,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A flaw was found in hibernate-core in versions prior to and including 5.4.23.Final. A SQL injection in the implementation of the JPA Criteria API can permit unsanitized literals when a literal is used in the SQL comments of the query. This flaw could allow an attacker to access unauthorized information or possibly conduct further attacks. The highest threat from this vulnerability is to data confidentiality and integrity.,NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,HIGH,7.4,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,52
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",hibernate-core-5.3.10.Final.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\hibernate-core-5.3.10.Final.jar,Hibernate's core ORM functionality,GNU Library General Public License v2.1 or later: http://www.opensource.org/licenses/LGPL-2.1,00d5068af7c2b30d9f4764828c823244,e608b854325005edbf43cb2b6041fdafd3f2eb57,pkg:maven/org.hibernate/hibernate-core@5.3.10.Final,cpe:2.3:a:hibernate:hibernate_orm:5.3.10:*:*:*:*:*:*:*,CVE-2019-14900,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A flaw was found in Hibernate ORM in versions before 5.3.18, 5.4.18 and 5.5.0.Beta1. A SQL injection in the implementation of the JPA Criteria API can permit unsanitized literals when a literal is used in the SELECT or GROUP BY parts of the query. This flaw could allow an attacker to access unauthorized information or possibly conduct further attacks.",NVD,MEDIUM,4.0,/AV:N/AC:L/Au:S/C:P/I:N/A:N,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,HIGH,52
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",spring-core-4.3.24.RELEASE.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\spring-core-4.3.24.RELEASE.jar,Spring Core,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",5bb1b87111de83750a64b2134550aeec,bb5a008df42823caca680824245d0398567da2e5,pkg:maven/org.springframework/spring-core@4.3.24.RELEASE,"cpe:2.3:a:pivotal_software:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:springsource:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:springsource_spring_framework:4.3.24:release:*:*:*:*:*:*",CVE-2016-1000027,CWE-502 Deserialization of Untrusted Data,"Pivotal Spring Framework through 5.3.16 suffers from a potential remote code execution (RCE) issue if used for Java deserialization of untrusted data. Depending on how the library is implemented within a product, this issue may or not occur, and authentication may be required. NOTE: the vendor's position is that untrusted data is not an intended use case. The product's behavior will not be changed because some users rely on deserialization of trusted data.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,35
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",spring-core-4.3.24.RELEASE.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\spring-core-4.3.24.RELEASE.jar,Spring Core,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",5bb1b87111de83750a64b2134550aeec,bb5a008df42823caca680824245d0398567da2e5,pkg:maven/org.springframework/spring-core@4.3.24.RELEASE,"cpe:2.3:a:pivotal_software:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:springsource:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:springsource_spring_framework:4.3.24:release:*:*:*:*:*:*",CVE-2022-22965,CWE-94 Improper Control of Generation of Code ('Code Injection'),"A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote code execution (RCE) via data binding. The specific exploit requires the application to run on Tomcat as a WAR deployment. If the application is deployed as a Spring Boot executable jar, i.e. the default, it is not vulnerable to the exploit. However, the nature of the vulnerability is more general, and there may be other ways to exploit it.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,35
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",spring-core-4.3.24.RELEASE.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\spring-core-4.3.24.RELEASE.jar,Spring Core,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",5bb1b87111de83750a64b2134550aeec,bb5a008df42823caca680824245d0398567da2e5,pkg:maven/org.springframework/spring-core@4.3.24.RELEASE,"cpe:2.3:a:pivotal_software:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:springsource:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:springsource_spring_framework:4.3.24:release:*:*:*:*:*:*",CVE-2020-5421,NVD-CWE-noinfo,"In Spring Framework versions 5.2.0 - 5.2.8, 5.1.0 - 5.1.17, 5.0.0 - 5.0.18, 4.3.0 - 4.3.28, and older unsupported versions, the protections against RFD attacks from CVE-2015-5211 may be bypassed depending on the browser used through the use of a jsessionid path parameter.",NVD,LOW,3.6,/AV:N/AC:H/Au:S/C:P/I:P/A:N,MEDIUM,6.5,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:C/C:L/I:H/A:N,HIGH,35
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",spring-core-4.3.24.RELEASE.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\spring-core-4.3.24.RELEASE.jar,Spring Core,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",5bb1b87111de83750a64b2134550aeec,bb5a008df42823caca680824245d0398567da2e5,pkg:maven/org.springframework/spring-core@4.3.24.RELEASE,"cpe:2.3:a:pivotal_software:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:springsource:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:springsource_spring_framework:4.3.24:release:*:*:*:*:*:*",CVE-2022-22968,CWE-178 Improper Handling of Case Sensitivity,"In Spring Framework versions 5.3.0 - 5.3.18, 5.2.0 - 5.2.20, and older unsupported versions, the patterns for disallowedFields on a DataBinder are case sensitive which means a field is not effectively protected unless it is listed with both upper and lower case for the first character of the field, including upper and lower case for the first character of all nested fields within the property path.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,35
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",spring-expression-4.3.24.RELEASE.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\spring-expression-4.3.24.RELEASE.jar,Spring Expression Language (SpEL),"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",585e342cf0ecb3739363298cf7efa6a3,458aa5086c378489dde64566a25925823159b6e6,pkg:maven/org.springframework/spring-expression@4.3.24.RELEASE,"cpe:2.3:a:pivotal_software:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:springsource:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:4.3.24:release:*:*:*:*:*:*",CVE-2016-1000027,CWE-502 Deserialization of Untrusted Data,"Pivotal Spring Framework through 5.3.16 suffers from a potential remote code execution (RCE) issue if used for Java deserialization of untrusted data. Depending on how the library is implemented within a product, this issue may or not occur, and authentication may be required. NOTE: the vendor's position is that untrusted data is not an intended use case. The product's behavior will not be changed because some users rely on deserialization of trusted data.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,36
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",spring-expression-4.3.24.RELEASE.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\spring-expression-4.3.24.RELEASE.jar,Spring Expression Language (SpEL),"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",585e342cf0ecb3739363298cf7efa6a3,458aa5086c378489dde64566a25925823159b6e6,pkg:maven/org.springframework/spring-expression@4.3.24.RELEASE,"cpe:2.3:a:pivotal_software:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:springsource:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:4.3.24:release:*:*:*:*:*:*",CVE-2022-22965,CWE-94 Improper Control of Generation of Code ('Code Injection'),"A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote code execution (RCE) via data binding. The specific exploit requires the application to run on Tomcat as a WAR deployment. If the application is deployed as a Spring Boot executable jar, i.e. the default, it is not vulnerable to the exploit. However, the nature of the vulnerability is more general, and there may be other ways to exploit it.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,36
scerevjpa,"Mon, 30 May 2022 17:54:13 +0200",spring-expression-4.3.24.RELEASE.jar,C:\Users\2038\Desktop\Desktop\GitHub\SCEREV\export\scerevjpa\lib\spring-expression-4.3.24.RELEASE.jar,Spring Expression Language (SpEL),"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",585e342cf0ecb3739363298cf7efa6a3,458aa5086c378489dde64566a25925823159b6e6,pkg:maven/org.springframework/spring-expression@4.3.24.RELEASE,"cpe:2.3:a:pivotal_software:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:springsource:spring_framework:4.3.24:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:4.3.24:release:*:*:*:*:*:*",CVE-2020-5421,NVD-CWE-noinfo,"In Spring Framework versions 5.2.0 - 5.2.8, 5.1.0 - 5.1.17, 5.0.0 - 5.0.18, 4.3.0 - 4.3.28, and older unsupported versions, the protections against RFD attacks from CVE-2015-5211 may be bypassed depending on the browser used through the use of a jsessionid path parameter.",NVD,LOW,3.6,/AV:N/AC:H/Au:S/C:P/I:P/A:N,MEDIUM,6.5,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:C/C:L/I:H/A:N,HIGH,36
